ACC_X 0, ACC_Y 0, ACC_Z 0, ACC_X 1, ACC_Y 1, ACC_Z 1, ACC_X 2, ACC_Y 2, ACC_Z 2, Time[ms]
-0.047365,-0.007813,-0.98294,-0.355968,0.93118,0.190924,0.141606,-0.028321,-1.038117,  --- 0.000000
-0.052248,-0.016114,-0.988311,-0.353038,0.93118,0.218268,0.135746,-0.032228,-1.056672,  --- 1.353736
-0.052248,-0.016114,-0.988311,-0.353038,0.93118,0.218268,0.135746,-0.032228,-1.056672,  --- 2.354852
-0.051759,-0.012696,-0.98587,-0.344737,0.941923,0.205573,0.134281,-0.028321,-1.038606,  --- 3.355703
-0.051759,-0.012696,-0.98587,-0.344737,0.941923,0.205573,0.134281,-0.028321,-1.038606,  --- 4.356742
-0.048341,-0.024415,-0.986846,-0.357921,0.922391,0.221198,0.145512,-0.021973,-1.026886,  --- 5.357518
-0.048341,-0.024415,-0.986846,-0.357921,0.922391,0.221198,0.145512,-0.021973,-1.026886,  --- 6.357917
-0.052736,-0.013184,-0.981963,-0.35255,0.938017,0.212897,0.138676,-0.019532,-1.019562,  --- 7.358057
-0.0459,-0.010254,-0.993682,-0.351573,0.918973,0.212897,0.144047,-0.032716,-1.043977,  --- 8.632917
-0.0459,-0.010254,-0.993682,-0.351573,0.918973,0.212897,0.144047,-0.032716,-1.043977,  --- 9.633064
-0.062014,-0.001465,-0.98587,-0.345714,0.924344,0.195318,0.141606,-0.019044,-1.035676,  --- 10.633182
-0.062014,-0.001465,-0.98587,-0.345714,0.924344,0.195318,0.141606,-0.019044,-1.035676,  --- 11.633341
-0.049318,-0.015137,-0.97708,-0.341319,0.920438,0.213385,0.14893,-0.035646,-1.049348,  --- 12.633546
-0.049318,-0.015137,-0.97708,-0.341319,0.920438,0.213385,0.14893,-0.035646,-1.049348,  --- 13.633710
-0.056154,-0.009766,-0.972197,-0.354991,0.93118,0.21192,0.139653,-0.017579,-1.04007,  --- 14.633896
-0.056154,-0.009766,-0.972197,-0.354991,0.93118,0.21192,0.139653,-0.017579,-1.04007,  --- 15.634059
-0.052736,-0.015625,-0.982451,-0.354015,0.932157,0.219733,0.127934,-0.016114,-1.032746,  --- 16.634243
-0.052736,-0.015625,-0.982451,-0.354015,0.932157,0.219733,0.127934,-0.016114,-1.032746,  --- 17.928017
-0.051759,-0.020997,-0.978057,-0.370617,0.946318,0.210456,0.140141,-0.026368,-1.030305,  --- 18.930695
-0.056154,-0.006836,-0.991729,-0.353526,0.930692,0.215827,0.135258,-0.02295,-1.042512,  --- 19.948605
-0.056154,-0.006836,-0.991729,-0.353526,0.930692,0.215827,0.135258,-0.02295,-1.042512,  --- 20.948967
-0.054201,-0.013672,-0.973174,-0.351573,0.928251,0.221198,0.139164,-0.027345,-1.045442,  --- 21.949083
-0.054201,-0.013672,-0.973174,-0.351573,0.928251,0.221198,0.139164,-0.027345,-1.045442,  --- 22.967041
-0.048341,-0.008301,-0.987823,-0.351085,0.93411,0.201178,0.142094,-0.026368,-1.044953,  --- 23.967316
-0.048341,-0.008301,-0.987823,-0.351085,0.93411,0.201178,0.142094,-0.026368,-1.044953,  --- 24.967512
-0.051271,-0.016114,-0.990264,-0.359386,0.926786,0.193365,0.13477,-0.020508,-1.041047,  --- 25.967670
-0.051271,-0.016114,-0.990264,-0.359386,0.926786,0.193365,0.13477,-0.020508,-1.041047,  --- 26.967888
-0.049318,-0.007813,-0.983428,-0.351085,0.929227,0.203131,0.137211,-0.014161,-1.026398,  --- 27.973896
-0.047365,-0.011719,-0.988311,-0.34962,0.933622,0.200201,0.135746,-0.014649,-1.025422,  --- 29.209961
-0.047365,-0.011719,-0.988311,-0.34962,0.933622,0.200201,0.135746,-0.014649,-1.025422,  --- 30.210104
-0.049806,-0.019532,-0.994659,-0.355479,0.933622,0.216315,0.13477,-0.00586,-1.036164,  --- 31.210260
-0.049806,-0.019532,-0.994659,-0.355479,0.933622,0.216315,0.13477,-0.00586,-1.036164,  --- 32.210453
-0.051759,-0.009766,-0.990264,-0.345714,0.932157,0.201666,0.132328,-0.031739,-1.030793,  --- 33.210667
-0.051759,-0.009766,-0.990264,-0.345714,0.932157,0.201666,0.132328,-0.031739,-1.030793,  --- 34.210854
-0.0459,-0.003418,-0.98001,-0.344249,0.927274,0.195807,0.135746,-0.028809,-1.040559,  --- 35.211018
-0.0459,-0.003418,-0.98001,-0.344249,0.927274,0.195807,0.135746,-0.028809,-1.040559,  --- 36.211178
-0.050783,-0.00586,-0.995147,-0.350108,0.945341,0.210944,0.135746,-0.028809,-1.027375,  --- 37.211395
-0.050783,-0.00586,-0.995147,-0.350108,0.945341,0.210944,0.135746,-0.028809,-1.027375,  --- 38.211597
-0.053224,-0.025391,-0.983916,-0.34669,0.923368,0.220221,0.141118,-0.032716,-1.045442,  --- 39.211845
-0.053224,-0.004883,-0.990753,-0.344249,0.93411,0.210456,0.141606,-0.021973,-1.045442,  --- 40.463661
